id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1007354086435981132,Top floor w/off street parking,232967878,1468802372405829537,Diana,,TENTH WARD,42.66091,-73.78453,Entire home/apt,,1,39,2025-06-21,1.22,14,0,0,
1010759793485911351,Abba House Historic Retreat - 3rd Flr Twin Bed,382970529,1463574448322349045,Thomas,,THIRTEENTH WARD,42.67003,-73.79771,Private room,80,1,75,2026-04-30,2.35,12,18,11,
1010759799610182054,Abba House Historic Retreat - Queen Bed w/ Single,382970529,1463574448322349045,Thomas,,THIRTEENTH WARD,42.66971,-73.79755,Private room,84,1,113,2026-05-29,3.55,12,10,42,
1010760496997974537,ABBA House Retreat - King Bed w/ Large Office,382970529,1463574448322349045,Thomas,,FOURTEENTH WARD,42.66806608232022,-73.79824947027458,Private room,73,1,19,2026-05-23,0.59,12,3,17,
1012862218478447339,ABBA House Retreat: Centrally Located Grand Manor,382970529,1463574448322349045,Thomas,,THIRTEENTH WARD,42.669899245465515,-73.7977031057611,Entire home/apt,1265,1,11,2026-05-30,1.76,12,337,11,
1013659440189111738,Abba House Historic Retreat - 2nd Floor Full Bed,382970529,1463574448322349045,Thomas,,FOURTEENTH WARD,42.66873,-73.7993,Private room,86,1,53,2026-04-17,1.67,12,9,31,
1015385216942267174,纽约州首府的温馨小屋,182509542,1463079287487627691,Yan,,NINTH WARD,42.6558992,-73.7965699,Private room,35,1,0,,,1,88,0,
1016050146219474145,Heart of Albany - Downtown Near Everything,42708277,1465634482472875867,Rodney,,SIXTH WARD,42.65539,-73.76416,Entire home/apt,199,1,62,2026-05-29,1.95,5,58,21,
1018295677909928470,ABBA House Retreat- Queen Bed w/ Large Closet,382970529,1463574448322349045,Thomas,,FOURTEENTH WARD,42.66792031298625,-73.79895760671212,Private room,75,1,54,2026-05-29,1.72,12,10,37,
1018299533220989494,Abba House Historic Retreat - 2nd Floor Queen Bed,382970529,1463574448322349045,Thomas,,THIRTEENTH WARD,42.66996,-73.79816,Private room,86,1,110,2026-06-02,3.48,12,9,21,
1018972187574908115,Rowhouse 9 ParkSouth 1 Bedroom,37769478,1465565296852923022,Erion,,SIXTH WARD,42.6535,-73.77046,Entire home/apt,164,1,71,2026-05-24,2.26,16,334,11,
1020518500251473070,Downtown Studio,233515764,1469243869147543959,Etem,,SECOND WARD,42.64714,-73.75466,Entire home/apt,123,1,219,2026-06-04,7.12,8,231,75,
1020993107237604444,*Beautiful* Spacious Prime DT 1 Bedroom Apt w GYM,47625981,1462707263288165799,Linda,,THIRD WARD,42.6586,-73.76421,Entire home/apt,216,1,30,2026-04-03,0.96,16,190,9,
1021011347006185640,*Spacious* Modern 1 Bedroom RARE Apt w GYM,47625981,1462707263288165799,Linda,,THIRD WARD,42.65971,-73.76382,Entire home/apt,216,1,37,2026-06-08,1.19,16,1,8,
1034722814589239236,"*Huge, bright, private 2Bedroom*",130404008,1468306677866187635,Michael,,THIRD WARD,42.65711,-73.75133,Entire home/apt,,4,2,2024-09-01,0.09,1,0,0,
1043565517982254841,2 bed room Apartment,212885959,1469112315837239647,Osas,,SECOND WARD,42.63976,-73.75705,Entire home/apt,171,1,31,2026-05-25,1.09,1,347,12,
1052381112116173923,Fully Furnished 2BR- 5 min to Albany Med Downtown,52464523,1465849167933258661,Dashima,,FIRST WARD,42.64081,-73.77463,Entire home/apt,93,30,9,2025-04-18,0.30,1,257,0,
1056469473906808728,"Bonjour, Bienvenue A Chez Pierre",553112010,1470471539964542907,Lynn,,TWELFTH WARD,42.7149,-73.87649,Private room,,2,1,2024-10-26,0.05,1,268,0,
1061814091773376272,Massive 5BD/4BA 3-Story Duplex @ Downtown Albany,44434571,1462696988014217001,Earl Vanze,,SECOND WARD,42.64418,-73.75316,Entire home/apt,531,1,24,2026-05-31,0.85,11,351,6,
1062527013885315764,"Nighthawk room, private twin near AMC, UAlbany",20536619,1462613529423158163,Emily,,THIRTEENTH WARD,42.67096,-73.79514,Private room,82,4,17,2026-05-20,0.59,13,72,5,
1079742757364810916,Lark St Oasis: Parking & Laundry,119340359,1468216801748309332,Lori,,SIXTH WARD,42.65531,-73.76449,Entire home/apt,,2,10,2025-11-11,0.35,2,0,3,
1090781013234004527,Newly renovated cozy apartment !,521669673,1470347340308191612,Kody,,THIRD WARD,42.65975,-73.76311,Entire home/apt,88,14,1,2024-11-24,0.05,4,268,0,
1091500387329731524,Triplex oasis w:parking near MVP,232967878,1468802372405829537,Diana,,SECOND WARD,42.64409,-73.75709,Entire home/apt,131,2,98,2026-05-28,3.50,14,77,32,
1097995825442731795,Walkable Studio: Restaurants & Fun Just Steps Away,232967878,1468802372405829537,Diana,,SIXTH WARD,42.65269,-73.76567,Entire home/apt,132,2,70,2026-05-20,2.53,14,37,21,
1100876731732967826,"Homey, Quiet 2BR W/ Washer Dryer",152762198,1468498032337807838,Allen,,FOURTEENTH WARD,42.67008,-73.80691,Entire home/apt,148,3,51,2026-03-23,1.93,9,257,21,
1102984130027939637,Rowhouse 03 1 BDR Apartment,37769478,1465565296852923022,Erion,,SIXTH WARD,42.65289,-73.76834,Entire home/apt,181,1,67,2026-05-17,2.42,16,360,17,
1104977057298366617,Abba House historic Retreat - 2nd Floor Queen,382970529,1463574448322349045,Thomas,,THIRTEENTH WARD,42.66943,-73.79882,Private room,97,1,56,2025-10-21,2.02,12,13,7,
1105303461851883481,Downtown Brownstone with a View!,14817455,1462947568708012843,Matt,,THIRD WARD,42.65749,-73.75263,Entire home/apt,,2,0,,,1,211,0,
1111221935683053416,Historical Pastures,418250661,1463653071014668004,Stephanie,,THIRD WARD,42.6564469,-73.7507251,Entire home/apt,125,2,27,2026-03-22,0.99,2,189,15,
1112912010299078781,Travelers House - Private 2 bedrooms with a deck,42700558,1465634369911298135,Sefa,,FOURTEENTH WARD,42.66431440028217,-73.81606654264979,Entire home/apt,118,3,3,2026-03-13,0.83,1,112,3,
1119691401020641385,Center Square Garden Apt + W/D | Walk to Capitol,472965048,1470133120701424590,Short & Comfy,,SIXTH WARD,42.65348,-73.7637,Entire home/apt,195,1,30,2026-05-09,1.12,2,266,15,
1120212616553191970,Historic Garden Retreat in 1858 Row House + W/D,472965048,1470133120701424590,Short & Comfy,,SIXTH WARD,42.65194,-73.76526,Entire home/apt,210,1,36,2026-05-28,1.34,2,266,8,
1121699903906738345,Cozy apartment in Albany,1761578,1462577741228520078,Grant,,SIXTH WARD,42.65314,-73.76546,Entire home/apt,314,2,6,2025-02-18,0.22,2,161,0,
1123231471304541808,"Modern townhouse 2 Bedrooms, King Bed, parking",10279606,1462836303318100245,Nori,,FIFTEENTH WARD,42.66901,-73.82402,Entire home/apt,219,2,89,2026-05-26,3.38,3,293,39,
1124558577325015506,Charming 1BR Near Capitol-Dwntwn,46312980,1465693635129179662,Robert,,SECOND WARD,42.646032,-73.760482,Entire home/apt,116,3,7,2026-05-09,0.28,2,216,3,
1124632058968031818,Modern Duplex - Historical Home,46312980,1465693635129179662,Robert,,SECOND WARD,42.646032,-73.760482,Entire home/apt,137,5,8,2026-02-26,0.30,2,83,3,
1128386510439836615,Welcome home travelers,502037254,1470257337985356382,Andrew,,SEVENTH WARD,42.64893,-73.76886,Entire home/apt,86,25,2,2024-08-03,0.08,2,210,0,
1131258472427093335,"Close to MVP/Airport/SUNY; 45m-1Hr: Saratoga, LG!",440509865,1469988841633864492,John,,FIFTEENTH WARD,42.674853495878494,-73.81692445092622,Entire home/apt,206,1,122,2026-06-13,5.41,1,328,71,
1134940445251354534,Calling all travelers,521669673,1470347340308191612,Kody,,THIRD WARD,42.65909,-73.75691,Entire home/apt,90,14,2,2025-05-15,0.08,4,268,0,
1135812630237897119,Cozy Bedrooms in Albany,522436003,1470350667412351703,Adriana,,THIRTEENTH WARD,42.6689614,-73.7890379,Private room,46,28,0,,,6,235,0,
1136433500940918827,"""The LEO Home"" Private Bedroom 1",349460842,1469695254081708328,Scott,,THIRTEENTH WARD,42.66368,-73.78128,Private room,78,6,0,,,21,364,0,
