id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,availability_category,review_activity,host_type
821566342267452838,COMFY Room/w Private BATH + TV,177073982,Cristian,FOURTEENTH WARD,42.66109,-73.80479,Private room,13.0,90.0,3,2023-11-30,0.07,2,294,0,High availability,Low review activity,Multi-listing host
826301775871257033,2 br apt 2 min walk to albanymed offstreet parking,484673863,Michaela,NINTH WARD,42.65500618912535,-73.77570156008005,Entire home/apt,236.0,1.0,80,2026-06-06,1.98,3,355,45,High availability,High review activity,Multi-listing host
831122937768017113,Boho-Chic Cape Conveniently Located,210596861,Craig,FIFTEENTH WARD,42.67076,-73.82612,Entire home/apt,363.0,2.0,140,2026-06-14,3.52,1,321,35,High availability,High review activity,Single-listing host
841524382518312215,Mellow Cove,462042479,Natasha,SIXTH WARD,42.66008,-73.76977,Entire home/apt,137.0,3.0,6,2024-07-09,0.18,2,362,0,High availability,Low review activity,Multi-listing host
841524433909352403,Cozy Cove Away From Home,462042479,Natasha,SIXTH WARD,42.65987,-73.77025,Entire home/apt,137.0,3.0,12,2023-12-03,0.33,2,357,0,High availability,Medium review activity,Multi-listing host
843481456379840308,Center Square Serenity: 2-Bedroom Elegance,188679144,Elizabeth,SIXTH WARD,42.65483,-73.76353,Entire home/apt,114.0,14.0,2,2023-09-04,0.05,11,364,0,High availability,Low review activity,Multi-listing host
845960193409947556,Modern Cottage-Perfect for Families!,268741708,Antoinette,FIRST WARD,42.63504,-73.79833,Entire home/apt,587.0,1.0,160,2026-06-01,4.07,1,134,44,Medium availability,High review activity,Single-listing host
846586211673806912,Spacious Home Away from Home!,49372011,Philip,TWELFTH WARD,42.67336,-73.78619,Entire home/apt,266.0,2.0,21,2026-05-17,0.54,2,173,2,Medium availability,Medium review activity,Multi-listing host
849460179246794510,Your luxury home away from home,1761578,Grant,SIXTH WARD,42.65432,-73.76531,Entire home/apt,236.0,3.0,2,2025-02-17,0.07,2,233,0,High availability,Low review activity,Multi-listing host
850173470105833039,Stunning Guest Suite in Historic 1874 Row House,120815848,Phat,SECOND WARD,42.6446,-73.75885,Private room,160.0,1.0,233,2026-06-14,5.99,1,330,57,High availability,High review activity,Single-listing host
850653820133738660,"Plum room, private queen near Albany Med, UAlbany",20536619,Emily,THIRTEENTH WARD,42.67177,-73.79464,Private room,97.0,4.0,18,2026-02-13,0.51,13,75,2,Low availability,Medium review activity,Multi-listing host
857981934159027424,Updated Historic Brownstone Apt.,60293220,David,THIRD WARD,42.65817,-73.74935,Entire home/apt,137.0,3.0,30,2026-05-25,0.8,3,339,8,High availability,Medium review activity,Multi-listing host
870457209918967324,Quiet Room Near Everything,177073982,Cristian,FOURTEENTH WARD,42.66128,-73.80548,Private room,13.0,90.0,4,2024-03-02,0.12,2,203,0,High availability,Low review activity,Multi-listing host
881231954286264195,ParkSouth Brickhouse 1 Bedroom,37769478,Erion,SIXTH WARD,42.65379,-73.76901,Entire home/apt,144.0,1.0,31,2026-05-17,0.81,16,356,11,High availability,Medium review activity,Multi-listing host
882229561343619620,Modern / Downtown Albany 1 BR APT,512736975,Miguelino,TENTH WARD,42.6599733,-73.7747433,Entire home/apt,124.0,1.0,79,2026-04-19,2.1,2,206,16,High availability,High review activity,Multi-listing host
887167811237271928,The Comfort II,459472925,Gabriel,THIRD WARD,42.66246,-73.76576,Private room,49.0,7.0,32,2025-11-07,0.87,2,364,5,High availability,Medium review activity,Multi-listing host
